problem_sha256,applied_params_hash,status,elapsed_ms,num_variables,num_bool,num_int,num_constraints,num_workers,num_conflicts,num_branches,deterministic_time
45b13b7a52849e075a4815eff8fce183160b2507b29f5f44276bd5b283cce180,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1761.78,2579,1793,786,28601,8,826,18196,2.0476
46c0155e6d81759ee93e16aa244b6dbf0a7349c44a245165b83dfd4ef442ff9c,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,32597.8,11114,8496,2618,124184,8,15039,170009,88.9703
471adab20a3091cc680bb5711324febc0100c3a3ef98bc2c30d1f5812cff17ce,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,3311.66,1863,1266,597,21835,8,303,10282,2.27321
47888d1b56a42fa20c5c9457a9527199b1d09ec2b5528820a793234e19f5328e,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3264.07,4040,2924,1116,44637,8,1980,44483,6.892
484ac3f3201370073c6a5c037e22b9f57078489440e357c56a6d9520b4c08955,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1380120.0,20844,16436,4408,233557,8,498838,1688437,4132.21
496c320b8ef688332fdb62ad282e05824ed7c6897f1e1782de65658d4f17aa51,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3964.92,5104,3610,1494,58090,8,2044,54259,8.29502
49e2fc3d508cdb66bff21c054a927b03b334d0a849540dffb80c05d3fb77e18b,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,4810.32,3526,2381,1145,41425,8,1252,42558,7.70899
49f5aba306220ddb56df3e237238e80ae4455ad2d41ef43856f5175dd6de48fa,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,8176.08,4589,3316,1273,51858,8,2546,59699,8.33407
4a009d145752df05b177c81952c03a84a9ddae56fd662e856e212d32cd60dcee,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,445.985,1317,869,448,14660,8,107,3158,0.297181
4b5c183b293875eb4e0b73aabd4581cbd17ba882b436d0dd49299632ccbbc661,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,4210.68,4107,2621,1486,49290,8,3008,60246,8.15272
4bec91f2bc8464588c77cbc76d4f59803f890548d8fc74c8a3346ff20c5dab37,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,2137.43,2571,1783,788,29248,8,904,18832,2.15797
